Date,Open,High,Low,Close,Adj Close,Volume
2023-07-13,891.349976,893.299988,883.250000,885.049988,881.003113,4228714
2023-07-14,885.000000,890.250000,879.650024,886.500000,882.446533,3860080
2023-07-17,886.000000,896.650024,876.000000,878.099976,874.084900,5614592
2023-07-18,877.049988,880.200012,863.150024,875.450012,871.447083,4731911
2023-07-19,875.450012,877.000000,867.200012,870.750000,866.768555,6641825
2023-07-20,871.000000,886.700012,868.000000,884.849976,880.804016,3779959
2023-07-21,878.099976,891.900024,874.799988,886.000000,881.948792,7001587
2023-07-24,885.000000,892.599976,880.799988,888.150024,884.088989,4125577
2023-07-25,888.000000,894.700012,879.099976,883.650024,879.609558,3652262
2023-07-26,886.500000,896.500000,883.299988,889.400024,885.333313,2845581
2023-07-27,889.349976,901.400024,888.150024,895.150024,891.057007,3445446
2023-07-28,899.900024,899.900024,890.549988,895.099976,891.007202,2314339
2023-07-31,894.000000,897.799988,885.250000,889.900024,885.830994,4424817
2023-08-01,894.500000,897.400024,888.150024,891.650024,887.572998,2087412
2023-08-02,883.200012,890.650024,872.599976,878.099976,874.084900,3328903
2023-08-03,875.000000,882.049988,865.099976,871.700012,867.714233,4642067
2023-08-04,869.000000,892.950012,866.200012,889.650024,885.582153,7066276
2023-08-07,885.150024,900.549988,884.099976,891.400024,887.324158,4086452
2023-08-08,892.000000,894.299988,880.450012,885.400024,881.351563,3282856
2023-08-09,885.000000,897.450012,878.799988,883.700012,879.659363,3185159
2023-08-10,882.000000,883.900024,868.200012,874.799988,870.799988,3439922
2023-08-11,872.000000,873.700012,865.000000,870.549988,870.549988,2812690
2023-08-14,870.500000,870.599976,857.599976,867.049988,867.049988,2665905
2023-08-16,870.000000,874.000000,853.200012,856.950012,856.950012,3962408
2023-08-17,857.200012,859.849976,850.000000,856.700012,856.700012,3013019
2023-08-18,856.700012,862.000000,852.250000,856.250000,856.250000,4929835
2023-08-21,855.650024,874.000000,854.099976,871.950012,871.950012,3220142
2023-08-22,871.000000,879.950012,866.200012,877.650024,877.650024,3333869
2023-08-23,877.000000,877.000000,866.799988,868.150024,868.150024,1860153
2023-08-24,873.000000,874.700012,864.200012,869.450012,869.450012,2842728
2023-08-25,869.450012,875.950012,861.099976,873.500000,873.500000,3124339
2023-08-28,874.049988,875.750000,865.849976,870.349976,870.349976,3094455
2023-08-29,870.000000,870.000000,848.500000,855.200012,855.200012,14064286
2023-08-30,859.849976,862.599976,856.450012,857.750000,857.750000,3261665
2023-08-31,855.500000,859.500000,847.049988,856.400024,856.400024,12528190
2023-09-01,853.150024,867.549988,852.750000,865.950012,865.950012,4427899
2023-09-04,865.750000,869.450012,859.700012,865.299988,865.299988,3102649
2023-09-05,863.099976,867.799988,858.400024,865.900024,865.900024,2216754
2023-09-06,867.150024,882.400024,865.799988,880.299988,880.299988,4235096
2023-09-07,880.299988,883.700012,873.150024,875.299988,875.299988,4532834
2023-09-08,881.799988,890.650024,878.150024,885.849976,885.849976,3741470
2023-09-11,888.000000,892.299988,883.599976,890.799988,890.799988,2733894
2023-09-12,894.900024,896.500000,885.000000,890.400024,890.400024,4106031
2023-09-13,888.049988,918.000000,885.549988,915.150024,915.150024,5222561
2023-09-14,920.299988,920.599976,910.099976,914.950012,914.950012,5513106
2023-09-15,912.599976,948.700012,910.000000,936.150024,936.150024,14003428
2023-09-18,929.400024,935.799988,918.000000,920.200012,920.200012,2977375
2023-09-20,911.000000,919.299988,904.799988,910.700012,910.700012,5241903
2023-09-21,910.200012,920.150024,903.349976,917.950012,917.950012,4896202
2023-09-22,917.950012,922.349976,903.799988,911.400024,911.400024,6112928
2023-09-25,912.000000,913.349976,902.049988,910.400024,910.400024,5278045
2023-09-26,910.000000,920.950012,908.000000,912.700012,912.700012,5355047
2023-09-27,914.950012,921.049988,907.450012,920.250000,920.250000,4713145
2023-09-28,926.000000,932.000000,918.599976,925.650024,925.650024,7386917
2023-09-29,932.000000,936.400024,921.799988,926.400024,926.400024,5608557
2023-10-03,918.250000,928.250000,916.049988,925.299988,925.299988,4338272
2023-10-04,918.299988,925.950012,918.299988,924.250000,924.250000,5603669
2023-10-05,925.049988,929.599976,919.400024,928.849976,928.849976,7063132
2023-10-06,929.200012,929.200012,924.299988,926.049988,926.049988,2420855
2023-10-09,918.000000,928.049988,916.549988,924.549988,924.549988,2248103
2023-10-10,924.549988,954.049988,921.049988,948.349976,948.349976,7897875
2023-10-11,948.500000,956.799988,948.000000,955.599976,955.599976,5645289
2023-10-12,955.599976,956.799988,947.000000,950.349976,950.349976,5544735
2023-10-13,946.299988,955.950012,946.299988,954.200012,954.200012,4421671
2023-10-16,957.950012,958.750000,943.849976,946.549988,946.549988,1881721
2023-10-17,946.549988,960.250000,946.000000,953.650024,953.650024,3863410
2023-10-18,953.000000,958.900024,950.650024,952.849976,952.849976,2334392
2023-10-19,945.799988,951.299988,941.349976,942.950012,942.950012,4306963
2023-10-20,937.799988,947.500000,937.000000,945.200012,945.200012,3125104
2023-10-23,941.599976,949.099976,937.000000,939.299988,939.299988,2180066
2023-10-25,924.599976,939.650024,919.000000,922.599976,922.599976,6365249
2023-10-26,921.650024,924.599976,900.049988,905.500000,905.500000,6595332
2023-10-27,910.750000,918.400024,906.450012,914.599976,914.599976,3508393
2023-10-30,914.799988,931.950012,910.349976,926.250000,926.250000,3686768
2023-10-31,920.299988,923.549988,912.400024,914.400024,914.400024,5697563
2023-11-01,903.000000,914.549988,895.450012,913.450012,913.450012,4821458
2023-11-02,920.000000,925.950012,916.400024,923.849976,923.849976,6611573
2023-11-03,925.000000,933.700012,922.200012,930.750000,930.750000,3895154
2023-11-06,934.200012,940.700012,930.000000,939.200012,939.200012,2760800
2023-11-07,936.049988,938.950012,932.450012,937.150024,937.150024,3616946
2023-11-08,941.799988,941.799988,934.400024,936.750000,936.750000,1808553
2023-11-09,936.750000,937.299988,930.549988,932.349976,932.349976,3914416
2023-11-10,929.000000,937.000000,929.000000,935.500000,935.500000,1345614
2023-11-12,940.000000,940.000000,933.000000,938.000000,938.000000,174810
